t_s,h_km,V_inertial_mps,gamma_inertial_deg,gamma_rel_deg,m_kg,T_N,phase
327.71348032072365,350.42886761365367,3561.9051792066093,14.697380184784524,17.003579250685785,62715.46052631582,600000.0,stage2
327.76348133223684,350.4740479556676,3562.2716608365636,14.691984957944742,16.9971102747773,62708.17669172936,600000.0,stage2
327.81348234375,350.5192167229503,3562.638239720159,14.686590537615055,16.990642358938256,62700.892857142884,600000.0,stage2
327.86348335526316,350.56437391542084,3563.0049158637976,14.681196923947843,16.9841755033864,62693.60902255642,600000.0,stage2
327.9134843667763,350.6095195329962,3563.371689273881,14.675804117095382,16.97770970833926,62686.32518796995,600000.0,stage2
327.9634853782895,350.6546535755983,3563.7385599568206,14.670412117209837,16.97124497401418,62679.04135338349,600000.0,stage2
328.0134863898026,350.6997760431478,3564.1055279190236,14.665020924443297,16.964781300628324,62671.75751879702,600000.0,stage2
328.0634874013158,350.7448869355638,3564.4725931669063,14.659630538947736,16.958318688398638,62664.473684210556,600000.0,stage2
328.11348841282893,350.7899862527661,3564.839755706884,14.654240960875045,16.951857137541896,62657.18984962409,600000.0,stage2
328.1634894243421,350.8350739946766,3565.207015545379,14.648852190377006,16.94539664827467,62649.90601503762,600000.0,stage2
328.21349043585525,350.88015016121415,3565.574372688815,14.643464227605309,16.938937220813326,62642.62218045116,600000.0,stage2
328.26349144736844,350.92521475230063,3565.941827143617,14.638077072711551,16.932478855374065,62635.338345864686,600000.0,stage2
328.31349245888157,350.9702677678559,3566.309378916217,14.632690725847226,16.926021552172866,62628.05451127823,600000.0,stage2
328.3634934703947,351.01530920780266,3566.6770280130486,14.62730518716374,16.91956531142554,62620.77067669176,600000.0,stage2
328.4134944819079,351.0603390720608,3567.044774440548,14.621920456812367,16.91311013334767,62613.486842105296,600000.0,stage2
328.4634954934211,351.105357360553,3567.4126182051555,14.616536534944341,16.90665601815468,62606.20300751882,600000.0,stage2
328.5134965049342,351.15036407320014,3567.780559313314,14.611153421710755,16.90020296606181,62598.919172932365,600000.0,stage2
328.56349751644734,351.1953592099231,3568.1485977714706,14.605771117262629,16.893750977284046,62591.6353383459,600000.0,stage2
328.61349852796053,351.2403427706454,3568.516733586075,14.600389621750855,16.887300052036245,62584.351503759426,600000.0,stage2
328.66349953947366,351.285314755287,3568.8849667635814,14.595008935326282,16.880850190533042,62577.06766917296,600000.0,stage2
328.71350055098685,351.3302751637725,3569.253297310445,14.589629058139598,16.87440139298888,62569.783834586495,600000.0,stage2
328.7635015625,351.37522399602364,3569.6217252331253,14.584249990341446,16.867953659618014,62562.50000000003,600000.0,stage2
328.8135025740131,351.4201612519631,3569.990250538086,14.578871732082343,16.861506990634513,62555.21616541357,600000.0,stage2
328.8635035855263,351.46508693151173,3570.3588732317944,14.573494283512707,16.855061386252228,62547.9323308271,600000.0,stage2
328.9135045970395,351.51000103459506,3570.7275933207193,14.56811764478288,16.848616846684845,62540.648496240625,600000.0,stage2
328.9635056085526,351.55490356113387,3571.096410811333,14.562741816043108,16.84217337214585,62533.36466165417,600000.0,stage2
329.01350662006575,351.5997945110537,3571.465325710113,14.557366797443509,16.835730962848533,62526.0808270677,600000.0,stage2
329.06350763157894,351.6446738842763,3571.8343380235383,14.551992589134134,16.829289619005976,62518.796992481235,600000.0,stage2
329.1135086430921,351.6895416807253,3572.203447758091,14.54661919126492,16.8228493408311,62511.51315789477,600000.0,stage2
329.16350965460526,351.7343979003243,3572.5726549202595,14.54124660398572,16.816410128536607,62504.2293233083,600000.0,stage2
329.2135106661184,351.7792425429989,3572.941959516531,14.535874827446287,16.809971982335036,62496.94548872184,600000.0,stage2
329.2635116776316,351.82407560867165,3573.3113615534003,14.530503861796268,16.803534902438685,62489.661654135365,600000.0,stage2
329.3135126891447,351.86889709726813,3573.6808610373614,14.525133707185232,16.797098889059725,62482.37781954891,600000.0,stage2
329.3635137006579,351.91370700871107,3574.0504579749154,14.519764363762613,16.790663942410063,62475.093984962434,600000.0,stage2
329.41351471217104,351.958505342925,3574.420152372565,14.514395831677808,16.784230062701475,62467.81015037597,600000.0,stage2
329.46351572368417,352.0032920998363,3574.789944236815,14.509028111080063,16.777797250145515,62460.52631578951,600000.0,stage2
329.51351673519736,352.04806727936773,3575.159833574178,14.503661202118556,16.771365504953533,62453.24248120304,600000.0,stage2
329.56351774671054,352.0928308814466,3575.5298203911634,14.498295104942352,16.764934827336727,62445.958646616564,600000.0,stage2
329.6135187582237,352.13758290599753,3575.899904694289,14.492929819700446,16.758505217506077,62438.674812030105,600000.0,stage2
329.6635197697368,352.18232335294505,3576.270086490074,14.487565346541704,16.752076675672363,62431.39097744364,600000.0,stage2
329.71352078125,352.22705222221555,3576.640365785042,14.482201685614912,16.74564920204619,62424.107142857174,600000.0,stage2
329.76352179276313,352.27176951373366,3577.010742585718,14.476838837068765,16.73922279683796,62416.82330827071,600000.0,stage2
329.8135228042763,352.31647522742674,3577.381216898633,14.471476801051839,16.732797460257892,62409.539473684235,600000.0,stage2
329.86352381578945,352.3611693632202,3577.751788730318,14.466115577712651,16.726373192516014,62402.25563909777,600000.0,stage2
329.91352482730264,352.4058519210415,3578.1224580873118,14.460755167199574,16.719949993822148,62394.971804511304,600000.0,stage2
329.96352583881577,352.4505229008142,3578.493224976152,14.455395569660935,16.713527864385952,62387.68796992484,600000.0,stage2
330.01352685032896,352.4951823024675,3578.8640894033824,14.450036785244922,16.707106804416853,62380.404135338365,600000.0,stage2
330.0635278618421,352.539830125927,3579.235051375549,14.444678814099655,16.700686814124126,62373.12030075191,600000.0,stage2
330.1135288733552,352.58446637111996,3579.606110899202,14.439321656373142,16.69426789371683,62365.83646616545,600000.0,stage2
330.1635298848684,352.62909103797375,3579.9772679808952,14.433965312213301,16.68785004340384,62358.552631578976,600000.0,stage2
330.2135308963816,352.67370412641486,3580.3485226271837,14.42860978176794,16.68143326339383,62351.2687969925,600000.0,stage2
330.26353190789473,352.7183056363715,3580.7198748446285,14.423255065184808,16.67501755389532,62343.984962406044,600000.0,stage2
330.31353291940786,352.762895567772,3581.091324639792,14.417901162611518,16.66860291511658,62336.70112781958,600000.0,stage2
330.36353393092105,352.80747392054184,3581.462872019242,14.412548074195595,16.662189347265734,62329.41729323311,600000.0,stage2
330.4135349424342,352.85204069461116,3581.8345169895474,14.407195800084487,16.6557768505507,62322.13345864665,600000.0,stage2
330.46353595394737,352.8965958899073,3582.206259557283,14.401844340425523,16.64936542517921,62314.849624060174,600000.0,stage2
330.5135369654605,352.94113950635864,3582.578099729024,14.39649369536596,16.642955071358795,62307.56578947371,600000.0,stage2
330.5635379769737,352.98567154389343,3582.950037511352,14.391143865052928,16.636545789296793,62300.28195488724,600000.0,stage2
330.6135389884868,353.0301920024408,3583.32207291085,14.385794849633491,16.630137579200376,62292.99812030078,600000.0,stage2
330.66354,353.0747008819282,3583.694205934106,14.380446649254598,16.623730441276493,62285.71428571431,600000.0,stage2
330.71354101151314,353.1191981822867,3584.0664365877087,14.37509926406311,16.617324375731926,62278.430451127846,600000.0,stage2
330.7635420230263,353.16368390344456,3584.438764878253,14.369752694205786,16.610919382773258,62271.14661654139,600000.0,stage2
330.81354303453946,353.2081580453301,3584.811190812338,14.364406939829296,16.60451546260687,62263.862781954915,600000.0,stage2
330.86354404605265,353.2526206078753,3585.1837143965613,14.359062001080208,16.598112615438968,62256.57894736844,600000.0,stage2
330.9135450575658,353.2970715910066,3585.5563356375283,14.353717878104998,16.59171084147558,62249.29511278198,600000.0,stage2
330.9635460690789,353.3415109946569,3585.9290545418476,14.348374571050057,16.585310140922505,62242.011278195525,600000.0,stage2
